N ,Site ,Year ,Irrigation program ,Sowing date ,Harvest date ,GDD-60 ,PP + IRR (mm) ,Site-year yield average  
68 ,Tattnall ,2022 ,Dryland ,5/16 ,10/29 ,2993 ,909 ,1416 
69 ,Telfair ,2022 ,Irrigated ,5/3 ,10/20 ,2945 ,488 ,1204 
70 ,Tift ,2022 ,Dryland ,5/11 ,11/1 ,3392 ,- ,1020 
71 ,Toombs ,2022 ,Irrigated ,5/9 ,9/22 ,2705 ,691 ,1244 
72 ,Wilcox ,2022 ,Dryland ,6/10 ,1/3 ,2673 ,363 ,893 
73 ,Worth ,2022 ,Irrigated ,5/24 ,11/2 ,2753 ,461 ,1441 
74,Mitchell,2023,Dryland,3-May,20-Nov,,,779
75,Atkinson,2023,Dryland,8-May,9-Nov,,,796
76,Irwin,2023,Dryland,19-May,30-Nov,,,908
77,Colquitt,2023,Dryland,15-May,14-Nov,,,1004
78,Telfair,2023,Dfyland,17-May,29-Nov,,,1031
79,Grady,2023,Dryland,5-Jun,8-Dec,,,1061
80,Turner,2023,Dryland,27-May,30-Nov,,,1096
81,Tattnall,2023,Dryland,16-May,30-Nov,,,1158
82,Burke,2023,Dryland,10-May,30-Nov,,,1177
83,Sumter,2023,Irrigated,12-May,2-Nov,,,1187
84,Macon,2023,Irrigated,1-Jun,14-Nov,,,1194
85,Seminole,2023,Irrigated,8-Jun,7-Dec,,,1200
86,Dooly,2023,Irrigated,5-May,2-Nov,,,1219
87,Worth,2023,Irrigated,18-May,1-Nov,,,1283
88,Coffee,2023,Irrigated,8-May,25-Oct,,,1356
89,Effingham,2023,Irrigated,16-May,10-Nov,,,1359
90,Toombs,2023,Irrigated,8-May,19-Oct,,,1362
91,Burke,2023,Irrigated,5-Jun,30-Nov,,,1371
92,Miller,2023,Irrigated,30-May,20-Nov,,,1436
93,Cook,2023,Irrigated,25-Apr,10-Oct,,,1436
94,Mitchell,2023,Irrigated,4-May,24-Oct,,,1496
95,Pulaski,2023,Irrigated,26-May,14-Nov,,,1548
96,Colquitt,2023,Irrigated,30-May,20-Nov,,,1591
97,Oconee,2023,Dryland,17-May,9-Nov,,,1886
98,Colquitt,2024,Dryland,31-May,12-Nov,,,779
99,Jeff Davis,2024,Irrigated,29-May,5-Dec,,,811
100,Mitchell,2024,Dryland,3-May,12-Nov,,,912
101,Mitchell,2024,Irrigated,3-Jun,2-Dec,,,995
102,Oconee,2024,Dryland,22-May,5-Nov,,,1163
103,Dooly,2024,Irrigated,2-May,5-Nov,,,1165
104,Sumter,2024,Irrigated,5-Jun,25-Nov,,,1218
105,Grady,2024,Dryland,22-May,31-Oct,,,1237
106,Burke,2024,Irrigated,31-May,31-Oct,,,1244
107,Cook,2024,Irrigated,30-Apr,12-Nov,,,1252
108,Burke,2024,Dryland,23-May,1-Nov,,,1258
109,Colquitt,2024,Irrigated,7-Jun,18-Nov,,,1288
110,Tattnall,2024,Dryland,21-May,16-Nov,,,1310
111,Jenkins,2024,Irrigated,26-May,23-Nov,,,1354
112,Worth,2024,Irrigated,28-May,28-Oct,,,1426
113,Turner,2024,Irrigated,7-Jun,3-Dec,,,1520
114,Brooks,2024,Irrigated,31-May,23-Nov,,,1527
115,Houston,2024,Irrigated,23-May,5-Nov,,,1557
116,Pulaski,2024,Irrigated,30-May,6-Dec,,,1671
