variety,sens,genMean,sens_sig,genMean_sig,both_sig,resp_var
DP 2055 B3XF,0.9776943388583113,7.700000000000004,NA,   c   ,   c   /NA,+b
NG 4936 B3XF,1.0557708551795937,7.313636363636343,NA,     e ,     e /NA,+b
PHY 400 W3FE,0.9008253874909818,7.793749999999986,NA,  bc   ,  bc   /NA,+b
ST 4990 B3XF,0.9714310731999259,7.17906976744185,NA,      f,      f/NA,+b
DG 3615 B3XF,0.9458350985867927,8.270454545454548,NA, a     , a     /NA,+b
DG 3799 B3XF,1.0612021863723087,8.31269841269841,NA, a     , a     /NA,+b
ST 5091 B3XF,1.0020146633599827,7.42051282051282,NA,    d  ,    d  /NA,+b
PHY 545 W3FE,0.9656881985893728,8.154761904761907,NA, a     , a     /NA,+b
NG 3195 B3XF,0.9708106202419922,7.390243902439023,NA,    d  ,    d  /NA,+b
AR 9831 B3XF,1.139259958727594,7.702439024390245,NA,  b    ,  b    /NA,+b
DP 1646 B2XF,1.1602631440596274,30.841757575757562,NA, a     , a     /NA,UHML (mm)
DP 2055 B3XF,1.119518458521101,30.638044444444432,NA, a     , a     /NA,UHML (mm)
NG 4936 B3XF,1.0945092852955307,30.162499999999937,NA,  b    ,  b    /NA,UHML (mm)
PHY 400 W3FE,0.9576850918518179,29.34676923076925,NA,    d  ,    d  /NA,UHML (mm)
ST 4990 B3XF,0.8716558723646414,30.078325581395276,NA,  b    ,  b    /NA,UHML (mm)
DG 3615 B3XF,0.9657638018969555,29.602545454545464,NA,   c   ,   c   /NA,UHML (mm)
DG 3799 B3XF,0.8673857695360969,29.467907692307715,NA,   cd  ,   cd  /NA,UHML (mm)
ST 5091 B3XF,0.8754241733934957,29.603700000000003,NA,   cd  ,   cd  /NA,UHML (mm)
PHY 545 W3FE,0.7288385455759535,28.68385714285714,NA,      f,      f/NA,UHML (mm)
NG 3195 B3XF,1.1571241278601332,29.08299999999999,NA,     e ,     e /NA,UHML (mm)
AR 9831 B3XF,1.20531857704776,29.20395238095238,NA,     e ,     e /NA,UHML (mm)
DP 1646 B2XF,1.0881777506206698,82.16363636363624,NA,    d  ,    d  /NA,UI (%)
DP 2055 B3XF,0.9521149517745342,82.14888888888886,NA,    de ,    de /NA,UI (%)
NG 4936 B3XF,1.0091174642625782,83.07045454545433,NA, ab    , ab    /NA,UI (%)
PHY 400 W3FE,1.1102251799299439,81.80000000000007,NA,     ef,     ef/NA,UI (%)
ST 4990 B3XF,0.6886622683697493,83.15581395348832,NA, a     , a     /NA,UI (%)
DG 3615 B3XF,1.2223577885931032,81.89545454545453,NA,     ef,     ef/NA,UI (%)
DG 3799 B3XF,0.9822057028742976,81.72153846153847,NA,      f,      f/NA,UI (%)
ST 5091 B3XF,1.0080252153098674,82.005,NA,     ef,     ef/NA,UI (%)
PHY 545 W3FE,0.8748559025340716,82.7,NA,   c   ,   c   /NA,UI (%)
NG 3195 B3XF,1.0365544649407126,82.92142857142855,NA,  bc   ,  bc   /NA,UI (%)
AR 9831 B3XF,0.9490656591754096,81.94047619047619,NA,     ef,     ef/NA,UI (%)
DP 1646 B2XF,1.079225328316489,31.747242424242383,NA, a      , a      /NA,Q-Score
DP 2055 B3XF,1.0848005227180535,31.78835555555554,NA, a      , a      /NA,Q-Score
NG 4936 B3XF,1.0591058690884907,31.64590909090902,NA,  b     ,  b     /NA,Q-Score
PHY 400 W3FE,1.0245548740049706,31.10753846153851,NA,    de  ,    de  /NA,Q-Score
ST 4990 B3XF,0.7713156272534448,31.645906976744136,NA,  b     ,  b     /NA,Q-Score
DG 3615 B3XF,1.1013792464393897,31.31275,NA,   c    ,   c    /NA,Q-Score
DG 3799 B3XF,0.9200361426825103,31.184646153846167,NA,   cd   ,   cd   /NA,Q-Score
ST 5091 B3XF,0.8345016767728207,31.1051,NA,     ef ,     ef /NA,Q-Score
PHY 545 W3FE,0.7119293867814186,30.82895238095238,NA,       g,       g/NA,Q-Score
NG 3195 B3XF,1.1516527294725727,31.093642857142854,NA,     ef ,     ef /NA,Q-Score
AR 9831 B3XF,1.2457301425310943,31.056380952380945,NA,      f ,      f /NA,Q-Score
